SEXO MASA LONG_ABDO LONG_PALMA CAT_IMC
Hom 78.7 92 9.9 Alto
Hom 80 98.7 10.2 Medio
Hom 75.1 83.9 10.4 Medio
Hom 101.2 104.3 11 Alto
Hom 87.2 96.2 10.4 Alto
Hom 67.7 86.2 9.3 Medio
Hom 78.4 87.7 10.7 Medio
Hom 63.8 75.1 11.3 Bajo
Hom 72.5 86.2 9.9 Medio
Hom 91.9 99.1 10.5 Alto
Hom 66.6 84.2 10.3 Medio
Hom 59.4 89.4 9.9 Medio
Hom 100.5 107.7 11.5 Alto
Hom 66 77 10.3 Medio
Hom 69.6 80.4 10 Medio
Hom 70.5 89.3 10.4 Medio
Hom 66.7 78.5 10.2 Medio
Hom 71.9 88.7 9.8 Medio
Hom 72.2 85.7 10.5 Medio
Hom 77.5 91.2 10.7 Medio
Hom 84.6 92.3 10.5 Medio
Hom 95.4 96.3 11.1 Alto
Hom 54.9 77.5 9.5 Medio
Hom 81.1 93.8 10.8 Medio
Hom 104.4 102.4 10.5 Alto
Hom 72.8 78.2 10.8 Medio
Hom 54.6 68.6 10 Medio
Hom 72.7 86.5 10.7 Medio
Hom 81.7 87.6 10.8 Medio
Hom 67.2 77.6 10.4 Medio
Hom 75.5 84.8 9.6 Medio
Hom 78.9 81.8 11.6 Medio
Hom 66.5 79.7 10.3 Medio
Hom 86.9 94 10.7 Alto
Hom 80.2 96.1 10 Alto
Hom 68.7 81 10.8 Medio
Hom 75.8 87.3 10.9 Medio
Hom 61.2 77.3 10.5 Medio
Hom 70.2 82 10.6 Medio
Hom 63.6 70 11.2 Bajo
Hom 80.2 91.1 10.7 Medio
Hom 65.4 81.1 10.4 Medio
Hom 103.2 90.9 12 Medio
Hom 79.5 91.7 10.4 Medio
Hom 74.7 90.3 10.9 Medio
Hom 51.8 70.1 9.8 Medio
Hom 71.2 85 10.9 Medio
Hom 72.7 86 10.5 Medio
Hom 80.9 84.7 9.9 Medio
Hom 64.8 84.4 9.9 Medio
Hom 68.7 84 10.5 Medio
Hom 69.2 73.2 11.5 Bajo
Hom 48.6 68.2 10.4 Bajo
Hom 72.1 82.2 10.6 Medio
Hom 78.8 98.7 11.3 Medio
Hom 76.8 89.4 10.9 Medio
Hom 68.2 82.3 11 Medio
Hom 53.4 69 9.6 Bajo
Hom 51.3 69.6 10.3 Bajo
Hom 78.1 84.6 10.6 Medio
Hom 75 79.6 11.4 Alto
Hom 74.6 90.4 10.8 Medio
Hom 63.4 83.9 9.7 Medio
Hom 64.8 84.6 10 Medio
Hom 75.3 97.2 10.6 Medio
Hom 70.8 84 10.5 Medio
Hom 80.7 98.1 10 Alto
Hom 114.5 105.2 10.9 Alto
Hom 67.9 86.4 10.2 Medio
Hom 92.4 100.4 11.1 Medio
Hom 66.7 75.3 10.9 Medio
Hom 71.9 86.2 10.5 Medio
Hom 81.4 95.6 10.8 Medio
Hom 63.7 77.5 10 Medio
Hom 63.4 81.1 10.9 Medio
Hom 79.3 91.3 10.6 Medio
Hom 85.1 97 10.6 Alto
Hom 56.8 77.9 10.5 Bajo
Hom 68.6 83.2 10.1 Medio
Hom 101.6 114 11 Alto
Hom 75.4 98.6 10.2 Medio
Hom 78.3 95.4 10.8 Medio
Hom 83.9 100.4 11 Medio
Hom 79.3 91.3 10.2 Medio
Hom 86.4 97 9.8 Alto
Hom 54.6 69.2 11 Bajo
Hom 84.3 93.5 11.5 Medio
Hom 76.4 91.2 11.1 Medio
Hom 77.2 95.3 10 Alto
Hom 77.3 91.1 10.8 Medio
Hom 78.4 93.4 11.4 Medio
Hom 55.8 67.9 10.3 Bajo
Hom 73.5 86 11.3 Medio
Hom 80.2 101.1 10.1 Alto
Hom 88.7 103.7 11 Alto
Hom 69.1 84.4 10.4 Medio
Hom 57.6 73.3 10.8 Bajo
Hom 70 86.3 10.6 Medio
Hom 87.5 95.9 11 Alto
Hom 75.4 98.2 9.9 Alto
Hom 57 73 10.5 Bajo
Hom 91.9 92.5 10.9 Alto
Hom 89.5 105.1 10.3 Alto
Hom 69.6 78.7 10.8 Medio
Hom 66.9 76.3 11.1 Medio
Hom 53.9 70.9 10.1 Bajo
Hom 53.1 66.3 9.9 Bajo
Hom 67.2 78.8 9.7 Medio
Hom 81 94.3 10.8 Medio
Hom 78.3 90.8 10.9 Medio
Hom 72.5 80.5 10.3 Medio
Hom 66.1 79.2 10.7 Medio
Hom 70.2 85.3 10 Medio
Hom 72 87.2 10.6 Medio
Hom 72.6 84.9 10.7 Medio
Hom 95.5 99.6 11.2 Alto
Hom 111.9 110.4 12 Alto
Hom 80.5 96.2 10.7 Medio
Hom 71.6 91.1 10.4 Medio
Hom 64.8 86.4 10.1 Medio
Hom 84.3 102.9 10.5 Alto
Hom 68.1 83.4 11.1 Medio
Hom 78.3 89.4 10.9 Medio
Hom 74.1 86.8 11.2 Medio
Hom 64.3 88.7 10.3 Medio
Hom 65 79.5 11.2 Medio
Hom 70.5 95.2 10.2 Medio
Hom 87.7 93 11 Alto
Hom 86.9 94.1 10.5 Alto
Hom 78.7 95.8 11 Medio
Hom 69 88.2 10.4 Medio
Hom 80.7 97.5 10.6 Medio
Hom 91.6 89 11.6 Medio
Hom 71 82.3 11 Medio
Hom 76.3 84.6 10.1 Medio
Hom 68.9 91.1 11 Medio
Hom 73.3 83.9 10.8 Medio
Hom 59.6 73.5 9.8 Medio
Hom 66.7 94.9 8.9 Alto
Hom 68.1 83.4 10.2 Medio
Hom 82 91.1 10.7 Medio
Hom 77.3 87.7 10.9 Medio
Hom 69.6 86.3 10.2 Medio
Hom 89.4 91.5 10.7 Alto
Hom 74.6 84.7 10.1 Medio
Hom 79.3 93.9 10.6 Medio
Hom 66.4 80 10.7 Medio
Hom 62.2 76 10.6 Medio
Hom 54 74.3 10.4 Bajo
Hom 65.1 79.5 10 Medio
Hom 72.9 83.3 9.8 Medio
Hom 76.1 85 10.9 Medio
Hom 88.1 100.1 10.7 Alto
Hom 68.7 80.7 10.5 Medio
Hom 70.6 82.9 10.5 Medio
Hom 78.7 91.5 10.6 Alto
Hom 62.7 76.4 10 Medio
Hom 63.9 75.3 10 Medio
Hom 67.4 79.6 10.8 Medio
Hom 51.7 71.9 10.2 Bajo
Hom 65.4 83.7 9.4 Medio
Hom 69.4 79.7 10.1 Medio
Hom 58.7 72.5 10.8 Medio
Hom 66.5 86.3 10.5 Medio
Hom 57.2 78.3 10.9 Medio
Hom 75.3 89.5 11 Medio
Hom 56.9 74.1 11.2 Bajo
Hom 69.4 82.4 10.9 Medio
Hom 62.5 79.3 11 Medio
Hom 58 80 9.4 Medio
Hom 72 96.2 10.3 Medio
Hom 89.6 96.9 11.5 Alto
Hom 81.8 92.5 11.3 Medio
Hom 63.7 79.3 10.1 Medio
Hom 72.5 88.1 9.9 Medio
Hom 78.1 85.8 11.4 Medio
Hom 58.4 72.5 10.3 Bajo
Hom 73.6 91.7 9.7 Alto
Hom 73.3 90.3 10.5 Medio
Hom 53.2 72.3 10.2 Bajo
Hom 58.8 78.2 9.6 Medio
Hom 66.6 85.1 10.1 Medio
Hom 71 82.5 11.4 Medio
Hom 87 93.8 11.2 Medio
Hom 72.9 84.4 11.3 Medio
Hom 63.4 77.2 10.7 Bajo
Hom 62.5 74.2 10.5 Bajo
Hom 87.9 98.9 10.7 Alto
Hom 67.4 87 10.7 Medio
Hom 65.8 77.5 10.9 Medio
Hom 59.5 79.5 10.3 Medio
Hom 76.2 82.7 11.5 Medio
Hom 54.5 74.2 10.5 Bajo
Hom 62 77.9 10.5 Medio
Hom 78.7 82.2 10.3 Medio
Hom 60.5 77.5 10.4 Medio
Hom 66.8 77.7 11 Medio
Hom 72.1 86.5 10.8 Medio
Hom 58.8 73.5 10.8 Bajo
Hom 60 72 11.7 Bajo
Hom 65.8 78.4 10.3 Medio
Hom 60.4 76.6 9.7 Medio
Hom 66 90.1 10 Medio
Hom 70.9 86.8 10.9 Medio
Hom 69.2 84.8 10.6 Medio
Hom 58.4 80.9 9.9 Medio
Hom 67.4 76.7 11.1 Bajo
Hom 67.5 84 11 Medio
Hom 74.6 88.1 10.7 Medio
Hom 92.1 96.6 11.4 Alto
Hom 71.3 86.6 10.1 Medio
Hom 101.2 101.3 10.9 Alto
Hom 69 83 9.9 Medio
Hom 62.1 81.4 10.4 Medio
Hom 83.7 101.3 9.6 Alto
Hom 76.5 82.2 10.2 Medio
Hom 80.9 94 10.2 Alto
Hom 64.2 74.2 10.3 Medio
Hom 58.9 78 11.5 Bajo
Hom 87.8 96 10.4 Alto
Hom 71.4 92 10.7 Medio
Hom 55.4 72.2 10.4 Bajo
Hom 67.2 77.3 10.2 Medio
Hom 78.7 86.6 10.2 Medio
Hom 51 73.6 10.2 Bajo
Hom 85.7 91.8 11.3 Medio
Hom 58 68.2 10.3 Bajo
Hom 63 75.1 10 Medio
Hom 75 83.1 10.8 Medio
Hom 58.3 73 10.2 Medio
Hom 65.6 78.1 10 Medio
Hom 55.5 70.9 10.1 Bajo
Hom 64.2 79.6 11.1 Medio
Hom 63.1 76.5 10 Medio
Hom 64.3 78.6 9.8 Medio
Hom 60.4 78.6 9.8 Medio
Hom 54.1 77.1 10.2 Medio
Hom 64.6 78 11.5 Bajo
Hom 64.5 74.1 10.2 Bajo
Hom 62.8 71.6 10 Medio
Hom 60.6 75.7 10.1 Medio
Hom 54.5 72.1 9 Bajo
Hom 66 73.3 11.5 Medio
Hom 61.3 80.3 10 Medio
Hom 57.9 72.4 10.3 Medio
Hom 68.1 77.8 10.2 Medio
Hom 72.7 79.1 10.8 Medio
Hom 56.8 68.2 10.5 Bajo
Hom 56 74.5 10 Bajo
Hom 78.6 84.5 10.3 Medio
Hom 61.3 79.8 9.1 Medio
Hom 80.7 91.3 9.4 Medio
Hom 74.6 76.2 10.1 Medio
Hom 63.1 77.1 9.8 Medio
Hom 81.2 85 11.2 Medio
Hom 80.6 88.3 10.4 Alto
Hom 51 70.3 10.4 Bajo
Hom 70.8 78.6 10.9 Medio
Hom 78.8 82.6 10.6 Medio
Hom 72.9 79.5 11.2 Medio
Hom 68.7 76.9 10.5 Medio
Hom 63.6 83.2 9.9 Medio
Hom 59.2 76.3 10.9 Medio
Hom 65.9 83.4 10.2 Medio
Hom 61.4 75.2 10.6 Medio
Hom 71 91.6 10 Medio
Hom 58.9 70.5 9.7 Bajo
Hom 82.7 100 10.2 Alto
Hom 78.6 82.9 11.5 Medio
Hom 62.5 83.6 10 Medio
Hom 79 91.1 10.5 Medio
Hom 68.3 75.1 10.5 Bajo
Hom 71 82.4 10.4 Medio
Hom 72.5 92.6 10.2 Medio
Hom 57.5 76.9 10.5 Bajo
Hom 54.4 81.1 10 Medio
Hom 69.2 85.1 10.9 Medio
Hom 66.3 78.7 11.1 Medio
Hom 86.6 98.1 10.3 Alto
Hom 61.6 78.7 9.5 Medio
Hom 79.5 94.6 10.3 Medio
Hom 54.4 79.8 9.7 Bajo
Hom 76.8 91.9 11 Medio
Hom 87.9 89.3 11.1 Medio
Hom 69.9 90.7 9.9 Medio
Hom 80 88.1 10.7 Medio
Hom 77.8 87.6 10.4 Medio
Hom 74.8 86 10.6 Medio
Hom 70.4 90.5 10.2 Medio
Hom 63.7 82.1 10.5 Medio
Hom 70.2 75.7 10.8 Medio
Hom 67.9 87.2 10.2 Medio
Hom 65.3 80.2 10.1 Medio
Hom 54.6 67 10.6 Bajo
Hom 80.3 86.8 10.8 Medio
Hom 71.5 88.4 10.6 Medio
Hom 64.5 84.6 10.3 Medio
Hom 77.7 102.5 10.5 Alto
Hom 69.7 94.4 9.1 Alto
Hom 55.1 79 9 Medio
Hom 87.8 108 10.2 Alto
Hom 61.1 80.9 9.1 Medio
Hom 71.2 89.5 10.5 Medio
Hom 56.6 75.6 10.5 Bajo
Hom 56.6 75.6 10.5 Bajo
Hom 75 87 11.2 Medio
Hom 73.8 89.1 10.5 Medio
Hom 78.1 94.3 11.4 Medio
Hom 72.4 93 10.1 Medio
Hom 57.1 73.1 9.5 Bajo
Hom 78.2 84 10.7 Medio
Hom 59.9 75.9 9.9 Medio
Hom 79.7 95.9 9.8 Medio
Hom 89.8 92.4 10.3 Alto
Hom 78.6 92 11 Medio
Hom 61.7 73.6 10.2 Bajo
Hom 81.9 92.3 11 Alto
Hom 71.1 89.5 10.4 Medio
Hom 79.7 88.7 11 Medio
Hom 61.3 72.5 9.7 Medio
Hom 67.1 89.5 8.9 Medio
Hom 80.2 86.3 10.5 Medio
Hom 67.6 80.9 10.3 Medio
Hom 62.9 81.1 10 Medio
Hom 47.6 66.8 9.8 Bajo
Hom 67.7 83.3 10.2 Medio
Hom 71.9 90.9 10.5 Medio
Hom 66.8 75.8 10.6 Medio
Hom 78.2 81.5 9.9 Medio
Hom 68.8 80.4 10.5 Medio
Hom 76.8 86.3 10.8 Medio
Hom 75.6 86.8 9.7 Medio
Hom 54.5 72.6 9.8 Medio
Hom 69 84.1 9 Medio
Hom 65.7 87.7 9.9 Medio
Hom 53.4 78.8 9.2 Medio
Hom 68.2 83.9 10.2 Medio
Hom 75.6 85.8 9.9 Medio
Hom 93.3 103.1 10.1 Alto
Hom 80.8 76.5 11.8 Medio
Hom 63.3 75.8 10.2 Medio
Hom 60.1 86.1 10.1 Medio
Hom 66 82.1 11 Medio
Hom 90.8 95 10.2 Alto
Hom 50.2 70.7 10 Bajo
Hom 68.6 85.4 10.6 Medio
Hom 74.7 84.2 10 Medio
Hom 72.7 82.2 10.4 Medio
Hom 51.3 67.7 9.1 Bajo
Hom 59.6 75.1 9.9 Medio
Hom 60.8 75 10.7 Medio
Hom 68.2 78.6 11 Bajo
Hom 59.3 76 10.2 Bajo
Hom 67 81.3 10 Medio
Hom 63 76.6 10.3 Medio
Hom 81.3 86.2 10.9 Medio
Hom 68.6 79.4 10.3 Medio
Hom 49.6 74.2 10.2 Bajo
Hom 66.4 81.1 10.6 Medio
Hom 61.5 74.4 11 Medio
Hom 60.4 73.6 10.2 Medio
Hom 55.8 70.3 10.4 Bajo
Hom 66.1 77.5 9.6 Medio
Hom 62.3 77.6 11.2 Medio
Hom 71.7 75.1 10.6 Medio
Hom 59.4 75.5 10.2 Medio
Hom 78.1 83.3 10.7 Medio
Hom 64.6 77.4 10.6 Medio
Hom 67.2 77 9.6 Medio
Hom 84.4 91.3 9.5 Alto
Hom 75.8 88.2 9.8 Medio
Hom 77.4 98.1 10.7 Alto
Hom 70.9 90.3 10.4 Medio
Hom 64.1 86.1 10.5 Medio
Hom 50.7 69 10.1 Bajo
Hom 57 79 10.4 Medio
Hom 73.2 93.7 11.2 Medio
Hom 91.8 92.1 10.6 Alto
Hom 77.1 87.1 11.6 Medio
Hom 81.2 96.6 9.8 Alto
Hom 82.6 92.3 9.9 Medio
Hom 66.4 78.2 10.5 Bajo
Hom 55.6 71.2 10.1 Bajo
Hom 66.4 82.3 10.4 Medio
Hom 63.1 80.6 10.6 Medio
Hom 78 91.2 10.2 Medio
Hom 66.4 84.9 9.5 Medio
Hom 72.9 83.2 10.7 Medio
Hom 77.4 90.2 9.5 Medio
Hom 72.8 81 10.8 Medio
Hom 69.6 84.4 10.5 Medio
Hom 70.9 93.5 9.9 Medio
Hom 60.5 74.4 10.8 Medio
Hom 83.7 88.7 10.7 Medio
Hom 73.7 87.6 10.1 Medio
Hom 85.5 95.6 11.1 Medio
Hom 44.5 67.4 9.5 Bajo
Hom 63.4 80.6 10.2 Medio
Hom 64.2 78.5 10.4 Medio
Hom 83.8 99.3 10.8 Medio
Hom 63 79.2 9.8 Medio
Hom 68.2 82.5 10 Medio
Hom 55.9 80.2 10.5 Medio
Hom 89.2 103.2 10 Alto
Hom 65.5 95 9.9 Medio
Hom 57.4 71.5 11.2 Bajo
Hom 69.2 78.4 10.8 Medio
Hom 49.1 67 9.6 Bajo
Hom 68.5 81 10.2 Medio
Hom 60.2 85.5 10 Medio
Hom 88.4 92 11.4 Medio
Hom 81.1 101.9 9.5 Alto
Hom 66.1 78.8 10.6 Medio
Hom 78.2 89.3 10 Medio
Hom 56.2 76.1 9.4 Bajo
Hom 67.1 78.4 10.4 Medio
Hom 66.6 76.5 10.7 Medio
Hom 82.3 96.8 9.5 Alto
Hom 76.2 84 10.8 Medio
Hom 88.2 92.6 10.5 Alto
Hom 63.8 79.8 10.5 Medio
Hom 77.7 96.8 9.9 Medio
Hom 89.7 100.1 10.2 Alto
Hom 73.9 91.7 10.9 Medio
Hom 66.8 81.1 10.6 Medio
Hom 61.2 76.7 10.3 Medio
Hom 76.1 86.8 10.6 Medio
Hom 65.8 86.1 10.2 Medio
Hom 71.2 82.7 10.1 Medio
Hom 53.4 78.3 9.1 Medio
Hom 49.8 66.4 9.9 Bajo
Hom 69.3 81.4 11 Medio
Hom 69.2 85.8 9.5 Medio
Hom 60 77.7 11.1 Medio
Hom 56 73 10.1 Bajo
Hom 67.4 79.1 9.4 Medio
Hom 56.7 72.1 10.4 Medio
Hom 85.4 95.4 10.1 Alto
Hom 71.9 82.9 10.7 Medio
Hom 57.4 75.1 10.5 Bajo
Hom 74.9 84.2 10.8 Medio
Hom 61 79.2 9.8 Medio
Hom 80 88 10.3 Alto
Hom 89.5 97.2 10.6 Medio
Hom 58.2 75 10.5 Bajo
Hom 65.5 87.6 10 Medio
Hom 81.5 91.5 9.6 Alto
Hom 64.9 77.2 10.8 Medio
Hom 49.1 64.9 9.5 Bajo
Hom 66.1 73.8 11.7 Bajo
Hom 59.7 70.1 10.1 Medio
Hom 69.4 83.5 10.2 Medio
Hom 71.1 85 10.4 Medio
Hom 52 73.1 9.2 Bajo
Hom 59.9 76.4 10.9 Bajo
Hom 48.6 75.1 9.3 Bajo
Hom 62.1 78.3 10.1 Medio
Hom 59.3 72.2 10.1 Bajo
Hom 67.5 81.4 9.4 Medio
Hom 59.3 75.6 10 Medio
Hom 70.1 81.2 10.4 Medio
Hom 57.4 76.7 10 Bajo
Hom 66.9 92.2 9.6 Medio
Hom 67.9 79.4 10.8 Medio
Hom 57.9 90.2 9.4 Medio
Hom 69.2 79.6 10 Medio
Hom 68.3 81.3 10 Medio
Hom 64.6 74 10.7 Medio
Hom 54.3 67.3 10.2 Bajo
Hom 70.8 91.9 10.1 Medio
Hom 61.1 72 10.6 Bajo
Hom 59.9 72.3 10.2 Bajo
Hom 60.5 75.2 9.5 Medio
Hom 69 77.6 11 Medio
Hom 59.8 75.4 10.3 Medio
Hom 68.4 82.1 10.5 Medio
Hom 87.6 90.3 11 Medio
Hom 66.7 77.3 10.4 Bajo
Hom 76.8 96 10.5 Medio
Hom 80.9 87 10.8 Medio
Hom 68.4 78.1 10.7 Medio
Hom 63.1 79.6 10 Medio
Hom 80.2 82.5 10.2 Medio
Hom 64.1 79.7 10.1 Medio
Hom 59.4 74.6 10.9 Medio
Hom 74.8 87.5 10.9 Medio
Hom 84.6 95.6 11.7 Alto
Hom 67.7 81.9 11.4 Medio
Hom 66.8 86.5 10.6 Medio
Hom 61.1 73.4 10.7 Bajo
Hom 72.3 78.5 10.9 Medio
Hom 71.1 80.8 10.4 Medio
Hom 85.5 90.6 11 Alto
Hom 55 73.4 10.1 Bajo
Hom 64.3 76.9 9.5 Medio
Hom 57.2 72.9 9.9 Medio
Hom 58.9 66.8 10.2 Bajo
Hom 62 73.1 10.9 Medio
Hom 78.8 96.6 10.7 Alto
Hom 64.4 82.9 10.2 Medio
Hom 73.4 85.4 10.3 Medio
Hom 69.9 95.2 9.5 Alto
Hom 73.4 94.7 10.5 Medio
Hom 70.3 91.3 10.2 Medio
Hom 62 82.9 10.8 Medio
Hom 66.7 78.4 10.2 Medio
Hom 68.5 82 11 Medio
Hom 71.1 75.6 11 Medio
Hom 68 80.3 10.1 Medio
Hom 64.9 80.6 11.1 Medio
Hom 68.2 75.4 11.3 Medio
Hom 79 97.4 10.3 Alto
Hom 60 73.6 9.5 Bajo
Hom 69.9 89.9 10.5 Medio
Hom 75 97.1 10.6 Medio
Hom 68.5 92.8 9.7 Medio
Hom 70 82.5 11.1 Medio
Hom 76.3 94.6 10.8 Medio
Hom 64.5 87.2 9.6 Medio
Hom 78.3 90.7 11 Medio
Hom 87.1 103.5 10.3 Alto
Hom 56.8 76.4 10.3 Medio
Hom 69.6 79.4 10.8 Medio
Hom 61.3 76.1 10.6 Medio
Hom 68.4 87.5 10.2 Medio
Hom 61.6 75.1 10.3 Medio
Hom 61.6 70.1 11.3 Bajo
Hom 83.2 86.6 10.8 Medio
Hom 77.8 97.6 10.4 Alto
Hom 75.1 85.1 10.6 Medio
Hom 77.2 92.5 10.8 Medio
Hom 69.5 83.2 10.9 Medio
Hom 61 75.1 10.6 Medio
Hom 71 84.8 10.7 Medio
Hom 69.6 83.4 11 Medio
Hom 66.2 74 10.8 Medio
Hom 71.2 76.3 11.9 Medio
Hom 70.7 94.1 9.6 Alto
Hom 74.7 93.4 10.4 Medio
Hom 76.4 90.1 11.1 Medio
Hom 64.3 74.4 10.1 Medio
Hom 73.4 93.6 10.2 Medio
Hom 75 84.7 10.4 Medio
Hom 73.6 82.4 11.8 Medio
Hom 58.4 72.8 10.4 Medio
Hom 61 74 11 Bajo
Hom 82 97.7 10.5 Medio
Hom 66.9 88.5 9.7 Medio
Hom 75.2 92.3 10.6 Medio
Hom 76.1 80.3 10.4 Medio
Hom 80.8 102.8 10.1 Alto
Hom 70.6 81.9 10.6 Medio
Hom 65.3 80.5 10.4 Medio
Hom 62.4 78.1 10.2 Bajo
Hom 54.7 78.7 10.4 Medio
Hom 75.6 88.6 10.6 Medio
Hom 74.2 91.2 10.3 Medio
Hom 73.8 83.9 10.7 Medio
Hom 61 74.3 10.2 Medio
Hom 67.1 84.3 10.4 Medio
Hom 59.1 76.2 10.4 Bajo
Hom 58.4 72.4 10.8 Medio
Hom 56.9 73.4 10.9 Bajo
Hom 62.9 84.6 9.9 Medio
Hom 85.4 96.8 10.7 Medio
Hom 56.6 74.3 10.1 Medio
Hom 91.5 104.3 10.7 Alto
Hom 67.8 84.2 9.9 Medio
Hom 60.5 80.6 10 Medio
Hom 54.1 81.5 9.4 Medio
Hom 74 89.1 10.2 Medio
Hom 63.1 76.4 11.5 Bajo
Hom 66.8 80.9 10.3 Medio
Hom 70.1 86.1 10.7 Medio
Hom 65.1 82.5 11.4 Medio
Hom 60.3 83.4 9 Medio
Hom 61.7 82.3 10.6 Medio
Hom 64.5 82.7 10.4 Medio
Hom 67.3 82.4 10.4 Medio
Hom 78.5 94.1 11 Medio
Hom 59.9 70.3 10.3 Bajo
Hom 80.3 80 10.6 Medio
Hom 64.8 75.6 10.8 Medio
Hom 86 100.5 11.3 Alto
Hom 75.6 84 11.7 Medio
Hom 59.6 79.2 11 Bajo
Hom 69 73.7 10.8 Medio
Hom 73.1 90.6 10.6 Medio
Hom 58 77.1 10.8 Bajo
Hom 66.6 84.5 10.5 Medio
Hom 105 111.6 11.6 Alto
Hom 74.2 90.8 10.5 Medio
Hom 74.4 85.7 10.6 Medio
Hom 56.8 77.7 10.2 Medio
Hom 74 88.4 10.5 Medio
Hom 78.4 87 11.2 Medio
Hom 71.9 89.7 10.2 Medio
Hom 69.4 86.3 10.7 Medio
Hom 80 92.2 9.9 Medio
Hom 66.5 89.7 10.1 Medio
Hom 81.6 101 10.4 Alto
Hom 55.2 73.1 9.7 Bajo
Hom 75.3 80.6 10.6 Medio
Hom 85.2 91.2 11.2 Alto
Hom 70.4 91.2 10.6 Medio
Hom 45 68.3 9.6 Bajo
Hom 67.1 85.4 10.3 Medio
Hom 73.4 90.6 11.1 Medio
Hom 62 85.4 9.7 Medio
Hom 62.9 75.7 10.1 Medio
Hom 71.3 80.5 11.2 Medio
Hom 66.8 83 9.9 Medio
Hom 81.6 94.1 11.1 Medio
Hom 70.5 89.6 10.4 Medio
Hom 61.8 91 10.1 Medio
Hom 77.7 93.2 11.1 Medio
Hom 65.6 85.7 10.1 Medio
Hom 62.4 71.2 10.5 Bajo
Hom 60.5 72.5 10.2 Bajo
Hom 76.9 89.7 10.8 Medio
Hom 79.3 83.4 11.5 Medio
Hom 67.4 74 11 Medio
Hom 55.5 69.9 10.8 Medio
Hom 69.1 90 9.7 Medio
Hom 63.5 77.5 10.9 Medio
Hom 65.3 75.6 11.3 Medio
Hom 66.7 82.9 11.2 Medio
Hom 60.3 80.6 10.5 Medio
Hom 56.3 80.5 9.8 Medio
Hom 49.5 68.3 9.9 Bajo
Hom 51.9 78.2 9.8 Bajo
Hom 68.5 77.4 10.2 Medio
Hom 72.3 82.5 11.6 Medio
Hom 78.4 96.6 9.8 Alto
Hom 66.2 76 11.1 Medio
Hom 52.6 69.3 10.5 Medio
Hom 67.3 75.2 11.7 Medio
Hom 54.2 72 10.1 Bajo
Hom 63.2 87.7 10.9 Medio
Hom 61.7 75.8 11.3 Medio
Hom 63.3 76.8 11 Medio
Hom 77 81.9 9.9 Alto
Hom 72 91 10.1 Medio
Hom 65.3 85.6 9.7 Medio
